City,BHK,Sqft,Bathrooms,Floor,Total_Floors,Distance_to_Center,Has_Swimming_Pool,Has_Gym,Is_Gated_Community,Per_Capita_Income_Lakh,Price_INR
Pune,5,7279,5,10,12,2.85,0,0,1,2.78,96277154.0
Mumbai,4,3100,4,23,26,26.25,1,1,1,4.13,48663196.0
Lucknow,5,8392,5,14,15,3.35,0,1,0,1.6,73132031.0
Lucknow,5,5163,4,13,22,13.62,0,0,1,1.6,20944566.0
Jaipur,2,911,2,2,9,19.63,0,1,1,1.8,3831683.0
Bangalore,3,1558,3,37,39,18.45,1,1,1,9.8,24958748.0
Mumbai,1,578,0,2,11,18.13,1,1,1,4.13,6392150.0
Ahmedabad,4,2849,3,13,23,13.73,0,0,0,2.8,14232901.0
Ahmedabad,3,1706,3,8,13,24.74,0,0,1,2.8,6490962.0
Lucknow,5,8936,5,5,11,26.42,0,0,1,1.6,44565726.0
Hyderabad,1,445,1,13,23,9.49,0,1,1,5.54,4045280.0
Delhi NCR,4,2914,4,14,22,12.5,1,1,0,4.75,24991510.0
Bangalore,2,1077,2,27,28,17.18,1,1,1,9.8,13236717.0
Bangalore,4,2593,3,10,13,16.49,1,1,0,9.8,35632392.0
Jaipur,2,841,2,12,20,26.13,0,1,0,1.8,2965618.0
Chennai,3,1711,3,3,11,19.86,0,1,1,3.5,11786196.0
Ahmedabad,4,3586,4,15,22,15.3,1,1,1,2.8,20579954.0
Delhi NCR,1,623,0,16,23,1.06,1,1,0,4.75,6512944.0
Delhi NCR,5,9294,5,23,33,8.49,1,1,1,4.75,205367906.0
Kolkata,3,1613,2,15,16,12.74,1,1,0,2.5,13505164.0
Kolkata,4,3484,3,3,10,28.92,0,1,1,2.5,17731240.0
Chennai,5,8400,5,0,2,14.99,0,1,1,3.5,83135503.0
Jaipur,4,2438,3,4,13,29.4,0,0,1,1.8,7630109.0
Hyderabad,5,6747,5,2,7,9.12,0,1,1,5.54,60258206.0
Kolkata,4,3328,4,2,2,29.55,0,0,1,2.5,15366688.0
Jaipur,3,1484,3,0,3,4.8,0,0,1,1.8,8151582.0
Lucknow,1,644,1,15,15,29.98,0,0,1,1.6,2000000.0
Jaipur,1,490,1,12,22,27.28,0,1,1,1.8,2000000.0
Delhi NCR,3,1628,3,26,28,8.28,1,1,1,4.75,21453641.0
Bangalore,4,3272,4,8,16,8.93,1,1,1,9.8,37619159.0
Jaipur,5,4552,5,4,7,12.45,0,0,1,1.8,22404360.0
Pune,2,998,2,0,3,5.56,0,0,0,2.78,10685955.0
Delhi NCR,1,557,1,21,29,11.22,1,1,0,4.75,5671114.0
Hyderabad,4,2490,3,7,14,26.65,0,1,1,5.54,14524236.0
Lucknow,4,2211,4,14,19,27.97,0,0,1,1.6,6316176.0
Mumbai,5,9206,5,11,11,25.7,1,1,0,4.13,298964077.0
Jaipur,5,9505,4,3,13,13.92,0,0,0,1.8,60662030.0
Pune,4,3106,4,6,14,18.84,0,1,1,2.78,20370498.0
Jaipur,5,9531,5,9,19,15.48,0,1,1,1.8,80503345.0
Jaipur,4,3619,4,14,20,16.06,1,1,1,1.8,22658151.0
Delhi NCR,2,990,2,29,30,13.9,1,1,1,4.75,9280172.0
Jaipur,1,585,1,5,9,4.23,1,1,1,1.8,3094522.0
Ahmedabad,4,3446,3,7,12,21.29,0,0,0,2.8,16268517.0
Pune,5,9044,5,4,5,1.34,0,1,1,2.78,139469846.0
Hyderabad,3,1740,3,8,9,5.71,1,1,1,5.54,22095639.0
Chennai,2,1020,2,1,10,0.66,0,0,1,3.5,6320875.0
Chennai,4,3726,4,12,14,8.15,0,1,1,3.5,37729205.0
Bangalore,1,471,1,40,40,13.96,1,1,0,9.8,4338945.0
Chennai,3,1533,3,7,12,22.97,0,1,0,3.5,9745937.0
Kolkata,2,978,2,2,3,27.87,0,0,1,2.5,4242777.0
Hyderabad,1,656,0,0,4,1.21,0,0,0,5.54,4866254.0
Ahmedabad,2,1186,2,8,8,23.86,0,0,0,2.8,4482135.0
Bangalore,1,490,0,20,25,0.28,1,1,0,9.8,8739091.0
Lucknow,1,544,1,7,8,6.81,0,1,1,1.6,2716476.0
Pune,1,433,1,9,17,8.24,1,1,1,2.78,4873845.0
Hyderabad,3,1819,3,7,9,11.21,0,1,1,5.54,21475154.0
Pune,1,634,1,3,9,29.77,0,1,1,2.78,2842419.0
Delhi NCR,1,588,1,24,25,1.23,1,1,1,4.75,12174192.0
Jaipur,3,1914,3,9,18,5.62,0,0,0,1.8,9510760.0
Jaipur,1,433,1,0,0,29.99,0,0,1,1.8,2000000.0
Hyderabad,2,1034,1,15,22,18.0,1,1,0,5.54,6291202.0
Hyderabad,3,1356,3,12,15,0.21,1,1,1,5.54,16971907.0
Lucknow,1,592,1,3,6,0.08,0,1,1,1.6,3764943.0
Ahmedabad,4,3359,4,4,10,23.99,0,1,1,2.8,15229985.0
Bangalore,5,7484,5,21,24,28.42,1,1,1,9.8,125877147.0
Chennai,2,850,1,15,15,29.3,0,0,1,3.5,3395323.0
Delhi NCR,2,1008,1,8,11,14.07,1,1,0,4.75,9645552.0
Delhi NCR,3,1818,3,23,23,13.4,1,1,1,4.75,13555466.0
Ahmedabad,1,595,1,12,16,6.65,0,0,1,2.8,3719270.0
Chennai,4,2636,3,11,16,29.24,1,1,0,3.5,17834768.0
Mumbai,5,8791,5,32,38,23.42,1,1,1,4.13,236368965.0
Delhi NCR,5,4658,5,32,34,0.8,1,1,1,4.75,29302829.0
Bangalore,4,3879,4,34,37,7.59,1,1,0,9.8,60114186.0
Jaipur,4,2980,3,8,13,22.7,1,1,1,1.8,13758507.0
Kolkata,1,667,1,15,16,6.81,1,1,1,2.5,6039758.0
Hyderabad,4,3646,4,1,10,12.08,0,0,0,5.54,33921305.0
Mumbai,5,8775,5,40,46,26.33,1,1,0,4.13,173221500.0
Mumbai,4,3855,4,12,17,15.87,1,1,1,4.13,103483846.0
Jaipur,5,6645,5,14,20,17.56,1,1,0,1.8,48892736.0
Pune,5,6458,5,1,5,9.51,0,1,0,2.78,52074644.0
Mumbai,5,5371,5,13,14,18.47,1,1,1,4.13,142707090.0
Kolkata,4,2640,4,7,7,24.85,0,1,1,2.5,12821307.0
Kolkata,1,535,1,0,9,19.01,0,0,1,2.5,2661166.0
Mumbai,2,810,1,15,25,9.51,1,1,1,4.13,21394343.0
Jaipur,4,2390,4,2,4,15.27,0,1,1,1.8,9961128.0
Hyderabad,4,3187,4,10,15,15.4,0,0,1,5.54,20114133.0
Chennai,5,6242,5,2,10,0.68,1,1,0,3.5,87376020.0
Hyderabad,2,1024,2,5,6,14.13,1,1,1,5.54,7124616.0
Chennai,3,1455,2,12,19,20.11,0,1,1,3.5,7871230.0
Delhi NCR,2,1089,2,2,10,13.9,1,1,1,4.75,12394994.0
Pune,3,1337,3,7,15,8.3,0,1,1,2.78,10018020.0
Jaipur,3,1975,3,5,8,12.05,0,0,1,1.8,9158185.0
Jaipur,3,1558,3,11,14,25.58,0,1,0,1.8,5886980.0
Lucknow,3,1872,3,15,15,8.69,0,1,1,1.6,7593855.0
Delhi NCR,3,1387,3,28,38,3.19,1,1,0,4.75,15732241.0
Jaipur,1,444,0,0,2,24.99,0,1,1,1.8,2000000.0
Jaipur,5,8000,5,7,17,15.5,1,1,1,1.8,54673658.0
Pune,4,2806,3,0,2,9.78,0,1,1,2.78,22048761.0
Jaipur,5,9243,5,8,11,2.28,0,1,1,1.8,96700850.0
Hyderabad,5,9306,5,5,6,8.39,0,0,1,5.54,143385556.0
Mumbai,4,3441,4,36,41,27.17,1,1,1,4.13,61754550.0
Hyderabad,3,1545,2,5,9,2.55,0,1,0,5.54,13535680.0
Bangalore,3,1994,2,40,43,23.29,1,1,0,9.8,26009043.0
Pune,5,9897,5,0,2,1.19,0,1,1,2.78,222411462.0
Bangalore,1,540,1,19,28,28.94,1,1,1,9.8,5657763.0
Kolkata,2,997,1,1,5,6.36,0,0,0,2.5,6364161.0
Hyderabad,2,1087,2,7,9,15.32,1,1,0,5.54,7673688.0
Jaipur,2,805,2,7,9,8.49,0,1,0,1.8,3683569.0
Jaipur,1,684,1,3,10,3.7,0,1,1,1.8,4159218.0
Pune,3,1919,2,7,7,22.38,0,1,1,2.78,13796359.0
Jaipur,2,1057,2,0,9,1.09,0,1,1,1.8,7381042.0
Delhi NCR,3,1971,2,39,48,3.45,1,1,1,4.75,33871634.0
Mumbai,2,880,1,38,48,15.61,1,1,0,4.13,10768259.0
Chennai,4,2975,4,11,16,7.53,0,1,1,3.5,28972891.0
Mumbai,3,1723,3,29,34,27.55,1,1,0,4.13,20808326.0
Hyderabad,4,2231,4,13,14,9.8,1,1,1,5.54,20937692.0
Mumbai,5,9650,5,28,29,10.85,1,1,1,4.13,424848253.0
Hyderabad,4,3410,4,2,3,10.58,0,0,1,5.54,37980816.0
Chennai,5,8359,5,0,4,7.36,0,0,1,3.5,137657025.0
Bangalore,1,460,1,37,46,5.95,1,1,0,9.8,7454921.0
Jaipur,3,1400,2,3,7,27.66,0,0,1,1.8,4402678.0
Kolkata,3,1798,3,9,14,14.04,0,1,1,2.5,12012721.0
Ahmedabad,2,1074,1,8,12,9.54,1,1,1,2.8,7989836.0
Delhi NCR,4,3426,3,31,38,26.92,1,1,1,4.75,28658473.0
Chennai,5,6805,5,8,18,26.83,1,1,0,3.5,73001586.0
Kolkata,5,7801,5,15,16,19.63,0,1,0,2.5,65936539.0
Delhi NCR,2,818,2,38,41,14.38,1,1,1,4.75,10437387.0
Chennai,1,490,1,4,6,13.87,1,1,1,3.5,4289890.0
Bangalore,3,1332,3,32,38,29.91,1,1,1,9.8,13201962.0
Chennai,2,1193,2,6,13,1.52,1,1,1,3.5,14622142.0
Delhi NCR,2,1112,1,15,18,23.96,1,1,1,4.75,8029089.0
Mumbai,3,1302,2,30,33,19.68,1,1,1,4.13,22417887.0
Jaipur,3,1723,2,4,14,15.83,1,1,1,1.8,7581730.0
Chennai,5,6135,5,2,11,0.39,0,1,1,3.5,83818117.0
Pune,2,870,2,8,9,18.98,0,1,0,2.78,6728605.0
Mumbai,5,9186,5,8,10,26.62,1,1,1,4.13,279657639.0
Mumbai,5,9469,5,13,23,18.43,1,1,0,4.13,441870899.0
Jaipur,3,1407,3,6,11,24.32,1,1,1,1.8,5988047.0
Mumbai,2,1140,2,5,12,16.01,1,1,0,4.13,26065115.0
Delhi NCR,4,3973,4,35,37,25.28,1,1,0,4.75,27801675.0
Mumbai,3,1754,3,2,3,6.92,1,1,1,4.13,37079882.0
Chennai,3,1459,2,1,4,9.8,0,0,0,3.5,10636270.0
Bangalore,5,6570,5,12,17,15.57,1,1,0,9.8,108328988.0
Hyderabad,5,8727,5,11,18,11.71,0,0,1,5.54,100611141.0
Pune,4,2377,4,5,7,4.53,1,1,1,2.78,26203787.0
Pune,2,1080,2,0,6,23.24,0,0,0,2.78,4668720.0
Mumbai,4,2319,4,20,29,15.32,1,1,1,4.13,44628899.0
Bangalore,3,1566,3,31,36,24.39,1,1,0,9.8,17689627.0
Kolkata,1,670,0,14,22,15.32,1,1,1,2.5,5064578.0
Delhi NCR,4,3555,4,18,20,24.1,1,1,0,4.75,35056175.0
Jaipur,2,1134,2,5,5,22.37,0,0,1,1.8,4036922.0
Delhi NCR,1,679,1,10,12,0.09,1,1,1,4.75,9722966.0
Jaipur,4,3170,4,11,13,5.89,0,1,1,1.8,17073446.0
Hyderabad,2,1018,2,11,14,21.92,1,1,0,5.54,8769291.0
Pune,2,1021,2,13,17,24.85,1,1,1,2.78,8179391.0
Bangalore,5,8583,5,12,12,22.6,1,1,1,9.8,138747345.0
Delhi NCR,2,844,2,33,38,11.91,1,1,1,4.75,8587987.0
Mumbai,5,7417,5,25,27,6.83,1,1,1,4.13,101082048.0
Kolkata,2,914,2,14,19,17.51,0,1,0,2.5,5870469.0
Lucknow,4,3422,3,14,19,18.74,0,0,1,1.6,12209597.0
Bangalore,1,659,0,2,6,19.58,1,1,1,9.8,5187001.0
Bangalore,3,1338,3,24,24,8.04,1,1,0,9.8,19764073.0
Lucknow,1,591,1,14,18,22.29,1,1,1,1.6,2366708.0
Jaipur,4,2408,4,13,15,7.15,0,1,0,1.8,14128970.0
Jaipur,5,8234,5,14,19,29.21,0,0,1,1.8,43861506.0
Mumbai,3,1906,3,19,28,22.55,1,1,1,4.13,42902923.0
Ahmedabad,5,8558,4,6,16,15.45,0,0,1,2.8,55222150.0
Mumbai,1,457,1,12,13,14.86,1,1,0,4.13,12562721.0
Mumbai,2,1062,1,26,33,26.68,1,1,1,4.13,20557644.0
Hyderabad,1,657,1,8,15,18.63,0,1,0,5.54,4241961.0
Chennai,3,1505,3,13,15,3.39,0,1,0,3.5,13897342.0
Ahmedabad,3,1556,3,1,8,2.67,1,1,0,2.8,9674222.0
Mumbai,4,3144,3,6,7,14.56,1,1,1,4.13,73400775.0
Mumbai,4,2572,4,9,9,2.69,1,1,0,4.13,47275578.0
Chennai,3,1879,2,13,20,2.11,0,0,1,3.5,13390594.0
Bangalore,2,923,2,37,44,25.74,1,1,1,9.8,6417511.0
Kolkata,2,1074,2,12,14,27.59,1,1,0,2.5,6489629.0
Mumbai,4,3836,4,11,20,13.82,1,1,1,4.13,71929896.0
Bangalore,3,1621,2,34,41,29.45,1,1,0,9.8,18914720.0
Pune,1,453,1,4,7,16.99,1,1,1,2.78,3476033.0
Pune,3,1741,3,2,8,15.37,0,0,0,2.78,8504840.0
Ahmedabad,4,3984,3,2,2,0.51,0,0,1,2.8,26392893.0
Kolkata,5,6801,5,3,6,13.75,1,1,1,2.5,73886383.0
Jaipur,2,867,2,0,4,5.56,0,1,0,1.8,4425018.0
Pune,2,1165,2,15,15,4.28,1,1,1,2.78,12579429.0
Chennai,5,5971,5,0,6,17.39,0,0,0,3.5,44302881.0
Pune,4,3280,4,9,13,25.76,1,1,1,2.78,26395521.0
Chennai,5,6248,5,12,22,11.59,0,0,0,3.5,64618860.0
Kolkata,1,688,1,14,19,9.48,1,1,1,2.5,6398141.0
Ahmedabad,2,959,2,0,10,23.27,1,1,1,2.8,4600520.0
Pune,3,1355,3,13,21,13.16,0,1,1,2.78,9054428.0
Kolkata,5,8675,5,1,7,20.56,0,1,0,2.5,66854297.0
Delhi NCR,3,1585,2,32,41,14.42,1,1,0,4.75,17940239.0
Pune,2,822,2,3,5,20.5,1,1,1,2.78,5458232.0
Kolkata,1,501,0,3,9,7.89,0,0,1,2.5,2928259.0
Kolkata,2,880,2,3,11,6.08,0,0,1,2.5,6153911.0
Jaipur,5,9857,5,15,16,29.37,1,1,0,1.8,64969299.0
Hyderabad,1,529,1,7,10,1.38,0,1,0,5.54,5529878.0
Hyderabad,1,669,1,9,18,1.73,1,1,0,5.54,6695234.0
Chennai,1,405,1,8,13,23.34,0,1,0,3.5,2236154.0
Mumbai,1,667,0,40,47,13.9,1,1,0,4.13,11227331.0
Mumbai,2,1075,2,34,37,25.38,1,1,0,4.13,24880729.0
Pune,2,1008,2,5,10,27.24,0,1,1,2.78,7175627.0
Delhi NCR,1,673,1,5,8,10.81,1,1,0,4.75,3681313.0
Lucknow,3,2000,3,10,13,3.94,1,1,1,1.6,11071503.0
Jaipur,1,627,1,15,22,20.3,1,1,0,1.8,2449040.0
Delhi NCR,3,1394,2,24,30,18.39,1,1,0,4.75,11059199.0
Bangalore,2,1052,2,20,30,8.33,1,1,0,9.8,13087054.0
Chennai,2,1006,2,6,14,27.57,0,0,1,3.5,3960674.0
Kolkata,2,1013,1,8,12,16.75,0,1,1,2.5,5490189.0
Kolkata,3,1349,3,1,1,16.07,0,1,1,2.5,7097961.0
Kolkata,4,3972,3,11,17,10.11,1,1,0,2.5,33756521.0
Ahmedabad,4,2254,4,1,1,6.72,0,0,1,2.8,12955628.0
Kolkata,4,3648,4,10,12,12.83,1,1,1,2.5,26640064.0
Ahmedabad,5,9824,5,11,14,27.48,0,1,0,2.8,69539826.0
Lucknow,1,680,1,0,8,6.71,0,0,0,1.6,2675380.0
Kolkata,3,1550,3,12,13,29.63,0,0,1,2.5,6663345.0
Mumbai,4,3769,3,40,47,0.62,1,1,1,4.13,205384463.0
Bangalore,2,1038,2,6,12,12.3,1,1,1,9.8,14806528.0
Lucknow,1,663,0,7,8,27.21,1,1,1,1.6,2136738.0
Lucknow,1,585,0,1,10,19.64,0,1,0,1.6,2203448.0
Mumbai,1,543,1,40,42,22.04,1,1,1,4.13,13948164.0
Delhi NCR,2,888,1,33,35,16.11,1,1,0,4.75,6526116.0
Lucknow,2,1029,1,11,21,23.6,0,1,1,1.6,3953873.0
Ahmedabad,3,1684,2,2,4,15.97,0,1,1,2.8,9916885.0
Bangalore,1,527,1,39,44,0.46,1,1,0,9.8,6925630.0
Bangalore,3,1424,3,31,31,5.16,1,1,0,9.8,16717447.0
Jaipur,4,2369,3,10,12,18.64,0,1,1,1.8,11118362.0
Pune,3,1525,3,14,14,22.82,0,0,1,2.78,10056225.0
Hyderabad,3,1893,2,11,16,11.35,1,1,1,5.54,20429260.0
Mumbai,4,3460,4,36,41,0.2,1,1,0,4.13,128668797.0
Kolkata,1,559,1,10,14,27.35,1,1,0,2.5,3140478.0
Kolkata,5,8375,5,12,15,16.88,1,1,1,2.5,76629889.0
Jaipur,1,618,0,15,25,4.49,0,0,0,1.8,3557655.0
Pune,1,521,0,15,16,23.8,1,1,1,2.78,4743146.0
Ahmedabad,3,1726,3,8,17,29.72,1,1,1,2.8,7834252.0
Bangalore,1,427,0,16,18,2.05,1,1,1,9.8,6438727.0
Lucknow,1,500,1,7,7,12.34,1,1,1,1.6,2079045.0
Lucknow,3,1618,3,9,13,25.35,1,1,1,1.6,6563540.0
Lucknow,5,5219,5,9,11,15.45,0,0,1,1.6,25274053.0
Bangalore,3,1476,3,9,15,0.12,1,1,1,9.8,22693646.0
Kolkata,5,9561,5,1,8,9.96,0,0,0,2.5,102223319.0
Pune,5,5779,5,9,13,3.11,1,1,1,2.78,82811179.0
Mumbai,3,1514,3,13,18,23.08,1,1,1,4.13,31863424.0
Kolkata,2,1121,2,12,17,3.9,0,1,0,2.5,7882230.0
Mumbai,2,1105,2,13,22,15.62,1,1,1,4.13,22756226.0
Jaipur,5,7920,5,0,8,19.86,1,1,1,1.8,52021886.0
Bangalore,5,7554,4,29,39,7.14,1,1,0,9.8,155754901.0
Mumbai,4,2476,4,40,50,7.61,1,1,1,4.13,61511275.0
Chennai,2,1200,2,8,17,7.59,0,0,1,3.5,8892991.0
Bangalore,1,463,0,7,10,1.96,1,1,1,9.8,7885107.0
Kolkata,2,1102,2,13,14,27.76,0,0,1,2.5,4822754.0
Chennai,4,2964,4,9,9,4.61,0,1,1,3.5,20189167.0
Chennai,3,1423,3,14,24,24.03,0,1,1,3.5,10919279.0
Jaipur,3,1479,3,0,6,11.12,0,1,1,1.8,7983117.0
Delhi NCR,3,1935,2,13,22,28.52,1,1,0,4.75,9867203.0
Pune,4,2370,4,1,2,25.86,0,1,0,2.78,15465229.0
Ahmedabad,2,918,2,14,17,7.47,0,1,1,2.8,5696912.0
Jaipur,3,1308,3,10,14,29.8,0,0,0,1.8,4093040.0
Hyderabad,2,1118,2,14,23,10.68,1,1,0,5.54,11391025.0
Delhi NCR,2,1169,2,2,8,22.5,1,1,0,4.75,8708990.0
Jaipur,1,690,0,8,15,20.05,0,1,1,1.8,2611820.0
Jaipur,4,3213,4,13,13,16.36,0,0,1,1.8,12602442.0
Delhi NCR,1,514,0,26,27,0.92,1,1,1,4.75,5948891.0
Delhi NCR,5,6482,5,22,24,28.34,1,1,1,4.75,56686782.0
Delhi NCR,4,3140,4,2,11,26.11,1,1,1,4.75,24201688.0
Hyderabad,1,590,1,1,10,8.74,0,1,0,5.54,4206046.0
Chennai,3,1705,3,15,23,14.04,0,1,1,3.5,13895099.0
Chennai,4,3563,4,14,17,0.25,0,0,1,3.5,43638199.0
Lucknow,5,8255,5,0,4,7.35,0,0,1,1.6,51020818.0
Hyderabad,1,563,1,3,5,4.27,0,0,1,5.54,5295185.0
Chennai,3,1684,3,0,6,17.12,0,0,1,3.5,10674704.0
Ahmedabad,4,2459,3,15,20,16.7,0,1,0,2.8,13187233.0
Bangalore,4,3394,4,15,21,13.22,1,1,0,9.8,39627148.0
Ahmedabad,3,1569,3,6,9,6.96,0,0,1,2.8,9803237.0
Ahmedabad,2,898,1,3,5,4.47,0,1,0,2.8,6023008.0
Pune,4,3150,4,0,7,21.96,1,1,0,2.78,18638924.0
Bangalore,3,1780,3,11,12,23.26,1,1,0,9.8,18662938.0
Lucknow,1,604,1,4,13,12.71,0,1,1,1.6,2792268.0
Ahmedabad,3,1983,3,6,7,0.78,1,1,0,2.8,14977359.0
Lucknow,4,2779,4,9,9,0.15,1,1,0,1.6,18136879.0
Jaipur,4,2952,4,13,21,13.98,0,0,0,1.8,13015717.0
Lucknow,3,1920,3,7,7,8.72,0,0,0,1.6,7711490.0
Hyderabad,5,8715,5,10,20,26.1,1,1,0,5.54,116332848.0
Mumbai,4,3978,4,10,18,15.08,1,1,1,4.13,154335075.0
Chennai,1,487,1,12,18,15.87,0,1,1,3.5,3015404.0
Ahmedabad,5,6303,4,10,15,19.91,1,1,0,2.8,38598474.0
Delhi NCR,1,664,0,15,22,18.02,1,1,1,4.75,6804299.0
Jaipur,5,6120,5,10,13,29.84,0,1,1,1.8,30166724.0
Pune,3,1566,3,5,9,20.58,0,0,1,2.78,9556307.0
Ahmedabad,4,3023,4,9,16,11.74,0,1,1,2.8,20048988.0
Hyderabad,3,1371,3,0,5,22.49,0,1,1,5.54,6549428.0
Pune,5,4848,4,3,11,29.67,0,0,0,2.78,32346263.0
Lucknow,3,1928,3,13,17,20.65,0,0,1,1.6,6252778.0
Bangalore,3,1408,3,8,13,17.03,1,1,1,9.8,19470291.0
Kolkata,3,1802,3,3,13,6.18,1,1,1,2.5,18039826.0
Kolkata,5,5702,4,3,13,5.59,0,0,0,2.5,43599264.0
Delhi NCR,4,3549,4,13,15,28.82,1,1,0,4.75,24210895.0
Delhi NCR,3,1493,3,33,41,21.47,1,1,0,4.75,16868804.0
Jaipur,3,1396,3,12,12,18.16,1,1,0,1.8,6331181.0
Bangalore,2,1131,2,16,21,27.41,1,1,1,9.8,9929250.0
Pune,4,3988,3,6,9,18.75,0,1,1,2.78,31680746.0
Chennai,3,1833,2,0,7,10.57,0,0,0,3.5,8422781.0
Ahmedabad,1,470,0,5,14,8.13,0,0,1,2.8,2639607.0
Delhi NCR,4,3651,3,14,18,26.78,1,1,1,4.75,26064627.0
Jaipur,1,635,1,7,7,21.22,0,0,0,1.8,2099874.0
Mumbai,3,1482,3,4,4,27.18,1,1,1,4.13,34125980.0
Ahmedabad,4,2216,4,4,7,14.86,1,1,0,2.8,11107371.0
Bangalore,5,4585,5,4,11,0.65,1,1,1,9.8,92357462.0
Hyderabad,4,2232,3,12,18,26.46,0,0,1,5.54,12421522.0
Mumbai,1,525,1,19,24,8.43,1,1,1,4.13,12022177.0
Chennai,3,1950,3,3,11,27.03,0,1,0,3.5,11430243.0
Hyderabad,2,883,2,8,17,26.25,1,1,0,5.54,6515354.0
Mumbai,4,3208,3,36,44,13.82,1,1,0,4.13,87976762.0
Kolkata,2,891,1,0,10,4.07,1,1,0,2.5,8163927.0
Mumbai,1,487,1,7,9,7.92,1,1,0,4.13,10086355.0
Delhi NCR,2,954,1,0,7,16.61,1,1,1,4.75,7361090.0
Hyderabad,3,1699,2,6,6,24.34,0,0,1,5.54,7899994.0
Hyderabad,1,626,0,3,10,24.02,0,1,1,5.54,3368565.0
Lucknow,4,3808,3,7,12,19.93,0,0,1,1.6,18124209.0
Delhi NCR,3,1453,2,13,18,15.08,1,1,1,4.75,19070632.0
Mumbai,1,447,1,31,31,25.34,1,1,1,4.13,4988450.0
Pune,4,3554,4,3,4,4.66,0,1,0,2.78,27979917.0
Bangalore,2,1118,1,10,17,7.46,1,1,1,9.8,15723443.0
Pune,3,1543,3,3,10,7.4,1,1,0,2.78,16470088.0
Kolkata,3,1429,2,0,3,13.9,0,0,0,2.5,7978612.0
Bangalore,1,665,1,8,10,7.17,1,1,1,9.8,8075751.0
Ahmedabad,2,1176,1,6,11,10.16,0,1,1,2.8,6851660.0
Chennai,3,1371,2,13,13,27.2,0,0,1,3.5,7528264.0
Lucknow,2,980,2,10,12,0.78,0,1,1,1.6,5831471.0
Kolkata,3,1867,3,7,15,29.34,0,0,1,2.5,6297149.0
Jaipur,2,1142,2,3,6,11.88,0,0,1,1.8,4821215.0
Lucknow,1,580,0,1,1,27.07,1,1,1,1.6,2000000.0
Delhi NCR,4,2308,3,14,18,22.56,1,1,1,4.75,20983133.0
Jaipur,5,6840,4,5,9,8.27,1,1,1,1.8,72175018.0
Kolkata,1,597,1,14,23,4.79,1,1,1,2.5,5645188.0
Ahmedabad,5,6594,5,1,5,28.85,0,1,1,2.8,34964586.0
Jaipur,3,1976,3,6,16,4.95,0,0,0,1.8,10646415.0
Delhi NCR,5,5784,5,6,15,21.66,1,1,0,4.75,67896736.0
Ahmedabad,4,3716,3,10,18,16.33,1,1,1,2.8,24710866.0
Delhi NCR,5,5723,5,20,25,13.05,1,1,1,4.75,90493433.0
Mumbai,2,1182,1,39,42,16.29,1,1,1,4.13,43882079.0
Ahmedabad,2,1184,2,15,25,10.72,0,0,1,2.8,5829753.0
Delhi NCR,2,955,2,0,10,25.23,1,1,0,4.75,7978634.0
Bangalore,3,1431,2,27,36,28.05,1,1,1,9.8,10741921.0
Ahmedabad,2,1104,2,7,7,13.54,0,0,0,2.8,5574961.0
Lucknow,4,2857,4,4,10,17.96,0,1,1,1.6,9889286.0
Hyderabad,5,6866,5,8,11,1.33,0,1,0,5.54,91184422.0
Delhi NCR,5,5271,4,23,33,16.93,1,1,0,4.75,58137606.0
Ahmedabad,5,7900,5,1,8,9.47,0,1,1,2.8,75577587.0
Kolkata,5,5655,5,14,24,16.73,0,0,0,2.5,41751145.0
Kolkata,4,2711,4,1,10,6.32,1,1,1,2.5,19549151.0
Jaipur,1,408,0,6,12,13.61,0,1,1,1.8,2000000.0
Ahmedabad,4,3981,4,14,18,28.99,0,0,1,2.8,15863636.0
Hyderabad,5,7039,5,8,11,9.9,0,1,0,5.54,61966060.0
Kolkata,3,1574,3,5,11,21.2,1,1,0,2.5,9044523.0
Jaipur,3,1545,3,7,11,9.57,0,0,1,1.8,6954238.0
Lucknow,1,446,1,12,20,16.41,0,1,0,1.6,2165338.0
Bangalore,5,9446,5,2,5,24.25,1,1,1,9.8,147553876.0
Delhi NCR,5,9623,4,37,44,17.15,1,1,1,4.75,112015825.0
Lucknow,5,5464,5,5,7,21.35,0,1,0,1.6,22079775.0
Mumbai,1,529,0,19,22,16.12,1,1,0,4.13,14027780.0
Pune,2,1153,2,1,11,29.58,0,0,1,2.78,8042715.0
Lucknow,4,3958,3,3,9,9.74,0,1,1,1.6,16482514.0
Mumbai,4,2266,4,1,8,29.14,1,1,0,4.13,14568909.0
Jaipur,4,3842,4,11,14,9.14,1,1,0,1.8,28146268.0
Chennai,3,1383,3,7,15,6.37,0,0,0,3.5,10813029.0
Bangalore,2,937,2,16,25,16.33,1,1,0,9.8,8068039.0
Mumbai,2,1153,1,2,6,17.01,1,1,1,4.13,25590551.0
Delhi NCR,3,1726,3,8,8,12.27,1,1,0,4.75,5873562.0
Pune,5,7928,4,2,5,12.66,0,1,1,2.78,94693733.0
Bangalore,2,897,2,25,27,7.65,1,1,1,9.8,13073299.0
Jaipur,4,3058,4,11,14,3.83,0,1,1,1.8,20109379.0
Bangalore,5,4786,4,33,37,15.25,1,1,0,9.8,51667725.0
Mumbai,1,527,1,14,22,1.0,1,1,0,4.13,15442164.0
Delhi NCR,1,577,0,2,6,3.66,1,1,1,4.75,5510084.0
